Left Angle,Right Angle,Outcome
107.9279198,90,1
122.9052429,81.05461817,1
111.8488299,80.15886824,1
122.9052429,180,1
170.8258938,164.8171332,0
179.9482569,169.9705083,0
179.9482569,169.9705083,0
179.9482569,165.5729113,0
179.9482569,169.9705083,0
179.9482569,169.9705083,0
170.8258938,176.7576636,0
158.723304,55.27259139,1
158.723304,55.27259139,1
173.0127365,165.7640027,0
167.182551,166.5178538,0
90,57.09475708,1
90,180,1
147.0947571,180,1
90,81.05461817,1
162.0720802,147.0947571,1
162.0720802,119.0689102,1
167.4623748,180,0
90,129.1668373,1
122.9052429,162.0720802,1
90,162.0720802,1
90,162.0720802,1
90,165.0226768,1
162.0720802,162.0720802,1
111.5713072,117.6130278,1
72.07208024,147.0947571,1
90,149.5344551,1
122.9052429,102.9498545,1
122.9052429,163.6104597,1
107.9279198,144.1441605,1
122.9052429,180,1
90,180,1
170.8258938,165.5729113,0
170.8258938,164.8171332,0
179.9482569,169.9705083,0
179.9482569,169.9705083,0
179.9482569,165.5729113,0
163.4842974,180,1
147.0947571,180,1
137.561994,162.0720802,1
147.0947571,163.6104597,1
140.3800172,163.6104597,1
180,180,0
180,162.0720802,1
180,163.6104597,0
99.41699328,90,1
72.07208024,90,1
72.07208024,72.07208024,1
119.0689102,11.23895915,1
180,180,0
167.5259073,171.7976458,0
171.9235043,173.8298249,0
170.8258938,172.9834983,0
159.846776,173.8298249,1
45.82434282,98.94538183,1
180,109.7663207,1
180,180,0
180,94.78899754,1
147.0947571,131.8506248,1
90.45314551,109.9468923,1
86.35661257,90,1
180,144.400874,1
178.7106597,170.1341931,0
173.5933242,180,0
93.21124802,157.6198649,1
150.9453959,93.21124802,1
180,90,1
180,170.2382252,0
162.784954,170.2382252,1
162.784954,156.9521844,1
168.0827207,171.7976458,0
174.9657325,60.53227809,1
160.6557239,69.66245458,1
160.6557239,60.03429845,1
174.6271531,172.9296552,0
174.6271531,153.2543285,1
174.6271531,177.9678209,0
180,173.8298249,0
180,173.8298249,0
147.0947571,93.21124802,1
147.0947571,163.6104597,1
165.0226768,110.7407683,1
100.0515546,149.5344551,1
85.07423147,163.6104597,1
128.990994,163.6104597,1
147.0947571,163.4842974,1
147.0947571,163.4842974,1
162.0720802,147.1889302,1
180,126.6454692,1
180,128.990994,1
180,147.0947571,1
162.0720802,84.8433228,1
128.3333401,147.0947571,1
180,114.1895142,1
180,129.1668373,1
180,129.1668373,1
162.0308603,158.3070946,1
174.231329,174.5272883,0
153.6128855,164.882524,1
168.985318,173.8298249,0
168.985318,173.8298249,0
168.985318,164.882524,0
175.7424487,174.4945221,0
175.7424487,174.4945221,0
123.645375,177.3900333,1
178.8829161,177.3900333,0
152.7004278,171.7976458,1
162.784954,172.9296552,1
167.8374937,172.9296552,0
178.3718178,171.7976458,0
180,172.9296552,0
109.9137354,172.9296552,1
179.8178201,135.709916,1
174.9657325,180,0
180,180,0
180,180,0
180,180,0
162.0720802,180,1
147.0947571,180,1
147.0947571,129.1668373,1
111.5713072,81.48112818,1
162.0720802,129.1668373,1
93.64338743,128.3333401,1
162.0720802,128.3333401,1
165.0226768,111.5713072,1
117.9794744,111.5713072,1
128.3333401,149.5344551,1
128.3333401,149.5344551,1
180,163.6104597,0
96.17431474,127.6942405,1
180,127.6942405,1
147.0947571,165.0226768,1
146.2612599,145.6221602,1
122.1957339,180,1
162.0720802,162.0720802,1
162.0720802,162.0720802,1
146.2612599,147.0947571,1
105.8061936,162.0720802,1
163.6104597,180,1
162.0720802,180,1
180,162.0720802,1
149.900622,162.0720802,1
180,162.0720802,1
180,162.0720802,1
180,167.8285418,0
180,162.0720802,1
155.4211233,101.6847593,1
168.6900675,101.4145822,1
133.6711502,130.1261036,1
154.6885429,180,1
125.8077569,107.9279198,1
180,180,0
162.0720802,180,1
180,180,0
180,180,0
180,180,0
180,180,0
162.0720802,6.197950615,1
162.0720802,180,1
180,95.99059472,1
163.6104597,93.1088568,1
92.82098859,6.112362626,1
92.82098859,92.90505505,1
180,90,1
92.82098859,107.9279198,1
162.0720802,180,1
147.0947571,92.81284856,1
92.65213214,8.42505179,1
125.5573751,110.6542308,1
92.57505913,92.72631099,1
92.50233645,92.65213214,1
180,180,0
171.7241072,161.9623324,1
171.7241072,180,0
175.7437031,177.3900333,0
177.6166167,177.3900333,0
92.50233645,92.65213214,1
180,7.791889518,1
180,162.0720802,1
135.8550974,149.5344551,1
162.0720802,180,1
180,180,0
147.0947571,180,1
180,147.0947571,1
180,165.0226768,0
163.6104597,180,1
162.0720802,165.0226768,1
162.0720802,180,1
180,162.0720802,1
85.0690447,178.4616206,1
162.0720802,162.0720802,1
180,136.7357046,1
162.0720802,180,1
180,180,0
163.6104597,73.11042577,1
180,147.0947571,1
180,180,0
128.3333401,162.0720802,1
180,178.4616206,0
180,163.6104597,0
180,163.6104597,0
180,157.6198649,1
122.1957339,148.2985703,1
127.6942405,162.0720802,1
92.65213214,102.5288077,1
122.9052429,120.4655449,1
97.07353767,110.4637419,1
114.9345957,94.50011371,1
180,168.906277,0
102.6894121,103.5571929,1
139.2479879,180,1
159.1775299,168.906277,1
180,180,0
90,122.9052429,1
120.4655449,90,1
180,0.155160211,1
116.1662471,91.98650578,1
143.0269067,159.4051027,1
180,168.906277,0
167.8285418,180,0
167.7596817,152.5167367,1
170.8111639,171.6341139,0
174.2435384,12.48628578,1
171.2609163,5.003084652,1
83.74096369,83.74096369,1
90,74.54400093,1
94.78899754,149.5344551,1
180,149.5344551,1
135.8550974,149.5344551,1
180,107.4747743,1
160.820992,170.1341931,1
152.6186377,171.7976458,1
178.3365473,170.1341931,0
178.3365473,170.1341931,0
178.3365473,170.1341931,0
178.3365473,161.9318388,1
171.7976458,170.1341931,0
171.7976458,176.0018855,0
166.0683108,171.7976458,1
149.5344551,119.0689102,1
150.8847173,111.5713072,1
180,117.9794744,1
90,74.56953133,1
147.0947571,180,1
180,129.1668373,1
147.0947571,162.0720802,1
180,165.0226768,0
147.0947571,147.0947571,1
100.8209428,64.36650542,1
179.201013,147.6926655,1
147.0947571,178.3967199,1
147.0947571,165.5297059,1
147.0947571,163.1416012,1
145.491477,180,1
161.5650512,161.5650512,1
143.6371314,143.6371314,1
180,147.0947571,1
180,129.1668373,1
90,147.0947571,1
90,162.0720802,1
153.9420311,170.2382252,1
174.8698761,155.7159938,1
174.8698761,155.7159938,1
177.30857,178.3365473,0
174.8698761,163.5952915,0
178.3365473,170.1341931,0
180,162.0720802,1
180,144.1441605,1
180,180,0
147.0947571,129.1668373,1
147.0947571,109.7663207,1
129.1668373,180,1
180,163.6104597,0
180,180,0
180,129.1668373,1
162.0720802,103.944746,1
180,180,0
180,172.6262336,0
168.906277,167.8285418,0
180,167.8285418,0
162.0720802,180,1
180,171.6341139,0
180,76.15930451,1
180,180,0
149.5344551,180,1
180,180,0
180,147.0947571,1
147.0947571,180,1
180,180,0
180,180,0
147.0947571,162.0720802,1
180,180,0
180,147.0947571,1
180,180,0
180,180,0
149.5344551,180,1
180,180,0
129.1668373,180,1
162.0720802,144.1441605,1
162.0720802,162.0720802,1
162.0720802,162.0720802,1
162.0720802,180,1
162.0720802,180,1
147.0947571,180,1
163.6104597,147.0947571,1
147.0947571,167.4623748,1
180,127.6942405,1
165.0226768,127.6942405,1
180,180,0
180,180,0
90,90,1
90,90,1
90,85.07423147,1
147.0947571,180,1
147.0947571,180,1
29.91426966,93.00350583,1
147.0947571,180,1
180,180,0
